Player,Team,Match Up,Game Date,Column 5,Win Loss,Min,Points,FGM,FGA,FG%,3PT,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,Fantasy
Brook Lopez,MIL,33,70,27.2,2.1,4.9,1.1,0.4,0.2,0.6,67.5,32.5,0.00,13.4,3.6,17.0,,,,,,,,,,
Rudy Gobert,UTA,29,71,30.8,6.1,15.1,1.4,0.2,0.3,0.5,44.7,55.3,0.06,12.1,2.8,14.8,,,,,,,,,,
Jakob Poeltl,SAS,25,69,26.7,5.5,12.0,1.3,0.4,0.2,0.6,69.0,31.0,0.04,11.6,2.9,14.4,,,,,,,,,,
Myles Turner,IND,25,47,31.0,2.3,5.4,2.2,0.3,0.3,0.6,46.7,53.3,0.00,11.1,2.5,13.6,,,,,,,,,,
Deandre Ayton,PHX,22,69,30.6,5.6,11.9,1.1,0.5,0.3,0.8,61.1,38.9,0.00,9.4,3.8,13.2,,,,,,,,,,
Thomas Bryant,WAS,23,10,27.1,4.3,10.0,1.2,0.1,0.0,0.1,100,0.0,0.00,9.7,2.8,12.5,,,,,,,,,,
Chris Boucher,TOR,28,60,24.2,2.1,5.2,1.1,0.2,0.3,0.5,46.7,53.3,0.03,8.1,3.8,11.8,,,,,,,,,,
Jarrett Allen,CLE,23,63,29.6,4.7,10.6,1.3,0.5,0.3,0.8,60.4,39.6,0.02,9.7,2.0,11.8,,,,,,,,,,
Kristaps Porzingis,DAL,25,43,30.9,3.0,6.8,1.0,0.5,0.2,0.7,70.0,30.0,0.02,8.4,2.9,11.3,,,,,,,,,,
Christian Wood,HOU,25,41,32.3,1.9,4.5,1.2,0.5,0.3,0.8,65.6,34.4,0.02,7.6,3.6,11.2,,,,,,,,,,
Jonas Valanciunas,MEM,29,62,28.3,4.4,9.4,0.9,0.4,0.3,0.8,55.1,44.9,0.02,8.8,2.1,10.9,,,,,,,,,,
Clint Capela,ATL,27,63,30.1,4.2,9.2,1.4,0.5,0.4,0.9,59.6,40.4,0.02,9.1,1.7,10.8,,,,,,,,,,
Isaiah Stewart,DET,20,68,21.4,2.9,6.4,0.9,0.2,0.1,0.3,66.7,33.3,0.01,8.3,2.4,10.7,,,,,,,,,,
Domantas Sabonis,IND,25,62,36.0,6.5,15.2,2.3,0.7,0.4,1.1,61.5,38.5,0.03,8.0,2.6,10.6,,,,,,,,,,
Karl-Anthony Towns,MIN,25,50,33.8,3.4,7.8,1.3,0.6,0.4,1.1,58.5,41.5,0.06,7.9,2.6,10.5,,,,,,,,,,
John Collins,ATL,23,63,29.3,2.1,4.8,1.3,0.3,0.2,0.5,57.6,42.4,0.17,6.7,3.7,10.3,,,,,,,,,,
Draymond Green,GSW,31,63,31.5,3.0,7.7,2.9,0.3,0.4,0.7,43.5,56.5,0.27,6.8,3.2,10.0,,,,,,,,,,
Anthony Davis,LAL,28,36,32.3,1.5,3.3,2.5,0.4,0.5,0.9,40.6,59.4,0.06,6.1,3.9,10.0,,,,,,,,,,
P.J. Washington,CHA,22,64,30.5,1.9,4.4,2.3,0.4,0.3,0.7,58.1,41.9,0.02,6.1,3.8,9.9,,,,,,,,,,
Bam Adebayo,MIA,23,64,33.5,4.7,11.4,2.3,0.5,0.4,0.9,58.2,41.8,0.08,6.2,3.7,9.9,,,,,,,,,,
Serge Ibaka,LAC,31,41,23.3,3.3,7.5,0.6,0.4,0.1,0.5,76.2,23.8,0.00,7.7,2.0,9.8,,,,,,,,,,
LaMarcus Aldridge,BKN,35,26,25.9,2.6,5.8,0.8,0.2,0.2,0.4,50.0,50.0,0.00,7.8,1.9,9.8,,,,,,,,,,
Richaun Holmes,SAC,27,61,29.2,4.3,10.0,1.5,0.4,0.3,0.7,55.0,45.0,0.02,7.6,2.1,9.8,,,,,,,,,,
Jaren Jackson Jr.,MEM,21,11,23.5,1.6,3.6,2.3,0.1,0.1,0.2,50.0,50.0,0.00,7.3,2.4,9.6,,,,,,,,,,
Robin Lopez,WAS,33,71,19.1,3.0,6.8,0.3,0.3,0.1,0.4,82.1,17.9,0.04,7.8,1.8,9.6,,,,,,,,,,
Ivica Zubac,LAC,24,72,22.3,3.9,8.7,0.5,0.3,0.2,0.5,63.9,36.1,0.00,7.7,1.7,9.4,,,,,,,,,,
Steven Adams,NOP,27,58,27.7,4.1,8.8,1.5,0.5,0.4,0.9,53.7,46.3,0.03,7.0,2.3,9.3,,,,,,,,,,
Daniel Theis,CHI,29,65,24.6,3.0,6.9,1.5,0.2,0.2,0.4,45.8,54.2,0.08,6.1,3.1,9.2,,,,,,,,,,
Nikola Jokic,DEN,26,72,34.6,4.5,10.2,2.8,0.5,0.3,0.8,65.5,34.5,0.00,6.9,2.3,9.1,,,,,,,,,,
Darius Bazley,OKC,21,55,31.2,0.7,1.5,0.8,0.2,0.3,0.6,41.9,58.1,0.00,4.5,4.5,9.0,,,,,,,,,,
Joel Embiid,PHI,27,51,31.1,2.8,6.0,1.6,0.6,0.4,1.0,56.9,43.1,0.08,7.3,1.7,8.9,,,,,,,,,,
Andrew Wiggins,GSW,26,71,33.3,0.4,1.1,1.4,0.6,0.4,1.0,56.5,43.5,0.00,4.8,4.2,8.9,,,,,,,,,,
Wendell Carter Jr.,ORL,22,54,25.5,4.7,10.4,1.1,0.4,0.3,0.6,58.8,41.2,0.06,7.3,1.6,8.9,,,,,,,,,,
