,Player,Age,Salary,PER,PER/$
0,Jaylen Brown,24,26758928.0,22.3,0.833366717829653
2,Carsen Edwards,23,1782621.0,12.2,6.843855199731182
3,Bruno Fernando,23,1782621.0,7.4,4.151190858853341
4,Al Horford,35,27000000.0,17.6,0.6518518518518519
5,Enes Kanter,29,1669178.0,21.9,13.120230436777863
7,Aaron Nesmith,21,3631200.0,4.4,1.2117206433135053
9,Payton Pritchard,23,2137440.0,11.9,5.5674077401003075
10,Josh Richardson,27,11615328.0,11.0,0.9470244835100653
12,Marcus Smart,27,14339285.0,14.6,1.0181818689007156
13,Jayson Tatum,23,28103500.0,21.4,0.761470991157685
14,Grant Williams,22,2617800.0,8.0,3.056001222400489
16,DeAndre' Bembry,27,1669178.0,13.2,7.908084098879808
17,Bruce Brown,25,4736102.0,12.8,2.7026444954099382
18,Jevon Carter,25,3650000.0,8.3,2.2739726027397262
20,Sekou Doumbouya,20,3613680.0,6.1,1.6880299307077549
21,Kevin Durant,32,42018900.0,25.1,0.5973502400110426
22,Blake Griffin,32,1669178.0,10.0,5.990972802181672
23,James Harden,32,44310840.0,24.2,0.5461417567349208
24,James Harden,32,44310840.0,22.7,0.5122899949538308
25,James Harden,32,44310840.0,24.9,0.5619392455660962
26,Joe Harris,30,17357143.0,14.9,0.8584362069264511
27,Kyrie Irving,29,35328700.0,25.3,0.7161316436778031
29,James Johnson,34,1669178.0,12.3,7.368896546683458
30,Patty Mills,33,5890000.0,14.7,2.495755517826825
31,Jahlil Okafor,25,2130023.0,15.6,7.323864577988125
34,Dwayne Bacon,26,1824003.0,10.7,5.866218421789876
35,RJ Barrett,21,8623920.0,13.1,1.5190307887828274
36,Alec Burks,30,9536000.0,13.5,1.4156879194630874
37,Evan Fournier,28,17000000.0,17.5,1.0294117647058822
38,Taj Gibson,36,4910000.0,10.6,2.1588594704684314
42,Nerlens Noel,27,8000000.0,14.3,1.7875
43,Immanuel Quickley,22,2210640.0,18.4,8.323381464191366
44,Julius Randle,26,21780000.0,20.7,0.9504132231404958
45,Mitchell Robinson,23,1802057.0,17.5,9.711124564872254
46,Derrick Rose,32,13445120.0,17.3,1.2867122048743336
47,Derrick Rose,32,13445120.0,17.4,1.2941498476770752
48,Derrick Rose,32,13445120.0,17.0,1.264399276466108
49,Obi Toppin,23,5105160.0,12.7,2.4876791324855634
51,Kemba Walker,31,36016200.0,14.2,0.39426702428351684
52,Seth Curry,31,8207518.0,14.1,1.7179371400708472
53,Andre Drummond,28,1669178.0,20.9,12.521133156559694
54,Joel Embiid,27,31579390.0,30.8,0.9753196626027292
55,Danny Green,34,10000000.0,9.7,0.9700000000000001
56,Tobias Harris,29,35995950.0,19.7,0.5472837916487827
57,Isaiah Joe,22,1517981.0,10.3,6.785328670121695
58,Furkan Korkmaz,24,4629630.0,8.1,1.749599860032011
59,Tyrese Maxey,20,2602920.0,13.4,5.148064481428549
60,Shake Milton,24,1846738.0,15.3,8.284878526352953
61,Georges Niang,28,3300000.0,8.3,2.515151515151515
62,Paul Reed,22,1517981.0,8.6,5.665420054664716
63,Ben Simmons,25,33003936.0,19.9,0.6029583865391085
65,Matisse Thybulle,24,2840160.0,9.1,3.2040448425440817
66,Precious Achiuwa,21,2711280.0,15.1,5.569325189578354
67,OG Anunoby,24,16071429.0,14.7,0.9146666422755562
70,Khem Birch,28,6350000.0,16.1,2.5354330708661417
71,Isaac Bonga,21,1669178.0,5.0,2.995486401090836
72,Chris Boucher,28,7020000.0,23.4,3.3333333333333335
75,Malachi Flynn,23,2048040.0,4.5,2.1972227104939357
77,Pascal Siakam,27,33003936.0,17.6,0.5332697287984076
78,Gary Trent Jr.,22,16000000.0,14.0,0.875
79,Fred VanVleet,27,19675926.0,18.3,0.930070584733852
80,Yuta Watanabe,26,1762796.0,11.1,6.296814832799711
81,Ryan Arcidiacono,27,3000000.0,11.2,3.7333333333333334
82,Lonzo Ball,23,18604651.0,14.2,0.7632500066784375
83,Tony Bradley,23,1669178.0,20.3,12.161674788428796
84,Troy Brown Jr.,22,5170564.0,5.4,1.0443734958120623
85,Alex Caruso,27,8650651.0,11.5,1.329379719514751
86,DeMar DeRozan,32,26000000.0,21.7,0.8346153846153846
88,Javonte Green,28,1669178.0,12.7,7.6085354587707235
89,Derrick Jones Jr.,24,9720900.0,11.3,1.1624438066434177
90,Zach LaVine,26,19500000.0,22.7,1.164102564102564
92,Coby White,21,5837760.0,10.9,1.8671545250232966
93,Patrick Williams,20,7422000.0,9.8,1.3203988143357586
94,Jarrett Allen,23,20000000.0,22.5,1.125
95,Jarrett Allen,23,20000000.0,21.3,1.065
96,Jarrett Allen,23,20000000.0,23.5,1.175
97,Damyean Dotson,27,2000000.0,9.9,4.95
98,Darius Garland,21,7040880.0,12.9,1.8321573439683676
99,Mfiondu Kabengele,24,1701593.0,-0.8,-0.4701476792629025
100,Kevin Love,33,31258256.0,11.2,0.3583053385959856
101,Lauri Markkanen,24,15690909.0,17.2,1.0961761361308002
103,Isaac Okoro,20,6720720.0,5.6,0.8332440571843492
104,Cedi Osman,26,8133334.0,11.2,1.3770490674549944
105,Ricky Rubio,30,17800000.0,11.2,0.6292134831460674
106,Collin Sexton,22,6439671.0,17.3,2.6864726474380447
107,Lamar Stevens,24,1517981.0,9.2,6.060681918943649
108,Dean Wade,24,1782621.0,6.1,3.421927599865591
109,Dylan Windler,24,2239200.0,13.4,5.984280100035726
110,Saddiq Bey,22,2824320.0,13.0,4.6028778608656244
112,Hamidou Diallo,23,5200000.0,15.9,3.0576923076923075
113,Jerami Grant,27,20002500.0,18.7,0.9348831396075491
114,Killian Hayes,20,5572680.0,-1.4,-0.25122562214230854
115,Frank Jackson,23,3000000.0,1.5,0.5
116,Josh Jackson,24,5005350.0,12.2,2.43739199057009
117,Cory Joseph,30,12600000.0,10.8,0.8571428571428572
118,Saben Lee,22,1489065.0,7.0,4.7009364937057825
120,Trey Lyles,25,2500000.0,11.6,4.64
121,Rodney McGruder,30,1669178.0,11.1,6.649979810421656
122,Kelly Olynyk,30,12195122.0,12.0,0.9839999960639999
123,Isaiah Stewart,20,3277080.0,14.1,4.302610860888351
124,Goga Bitadze,22,3098400.0,18.3,5.906274206041829
126,Malcolm Brogdon,28,21700000.0,18.3,0.8433179723502304
127,Torrey Craig,30,4878049.0,11.6,2.377999892990005
129,Justin Holiday,32,6006420.0,12.4,2.0644576969309507
131,Jeremy Lamb,29,10500000.0,17.8,1.6952380952380954
132,Caris LeVert,27,17500000.0,19.1,1.0914285714285716
133,Kelan Martin,26,1701593.0,1.4,0.8227584387100793
134,T.J. McConnell,29,7500000.0,15.2,2.0266666666666664
136,Edmond Sumner,25,2320000.0,11.4,4.913793103448276
137,Myles Turner,25,18000000.0,17.0,0.9444444444444444
138,T.J. Warren,28,12940000.0,12.0,0.9273570324574961
139,Grayson Allen,25,4054695.0,14.0,3.4527874476378617
140,Giannis Antetokounmpo,26,39344970.0,28.3,0.7192787286405353
141,Thanasis Antetokounmpo,29,1669178.0,10.3,6.170701986247123
143,Pat Connaughton,28,5333334.0,13.2,2.474999690625039
144,Donte DiVincenzo,24,4675830.0,12.7,2.7160953242525925
146,George Hill,35,4000000.0,16.0,4.0
147,Jrue Holiday,31,32413333.0,19.9,0.6139448849644682
148,Rodney Hood,28,1669178.0,5.0,2.995486401090836
149,Brook Lopez,33,13302325.0,13.4,1.0073427013698733
150,Khris Middleton,30,35500000.0,20.1,0.5661971830985916
151,Jordan Nwora,22,1517981.0,12.9,8.498130081997074
152,Semi Ojeleye,26,1669178.0,9.2,5.511694978007138
154,Clint Capela,27,18603448.0,23.1,1.241705301081821
155,John Collins,23,23000000.0,19.3,0.8391304347826087
156,Gorgui Dieng,31,4000000.0,18.6,4.65
157,Danilo Gallinari,33,20475000.0,12.5,0.6105006105006104
158,Solomon Hill,30,1669178.0,6.4,3.8342225933962704
159,Kevin Huerter,23,4253357.0,11.9,2.7977900749925295
160,De'Andre Hunter,23,7775400.0,17.5,2.25068806749492
162,Onyeka Okongwu,20,6104280.0,12.2,1.9985977052166675
163,Cam Reddish,22,4670160.0,9.3,1.991366462819261
164,Lou Williams,34,5000000.0,16.5,3.3000000000000003
165,Delon Wright,29,8526316.0,16.6,1.9469135321749749
166,Trae Young,22,8326471.0,22.9,2.7502647880476614
167,LaMelo Ball,20,8231760.0,18.2,2.2109488128905603
169,Miles Bridges,23,5421493.0,12.0,2.2134124308562235
170,Vernon Carey Jr.,20,1517981.0,29.8,19.63133925918704
171,Gordon Hayward,31,29925000.0,18.7,0.6248955722639933
174,Cody Martin,25,1782621.0,13.5,7.573118458718931
175,Jalen McDaniels,23,1782621.0,7.2,4.038996511316763
176,Kelly Oubre Jr.,25,12000000.0,12.4,1.0333333333333332
177,Mason Plumlee,31,9248333.0,17.2,1.8597946246096457
178,Nick Richards,23,1517981.0,13.3,8.761637991516363
179,Terry Rozier,27,17905263.0,18.3,1.022045864391939
180,Ish Smith,33,4500000.0,10.6,2.3555555555555556
182,P.J. Washington,23,4215120.0,12.8,3.036686974510809
183,Bam Adebayo,24,28103500.0,22.7,0.8077285747326846
184,Jimmy Butler,31,36016200.0,24.2,0.6719198582859934
187,Tyler Herro,21,4004280.0,12.1,3.0217667096207057
188,Kyle Lowry,35,26894128.0,16.3,0.6060802566270229
189,Markieff Morris,32,1669178.0,8.9,5.331965793941689
190,KZ Okpala,22,1782621.0,3.2,1.7951095605852283
191,Victor Oladipo,29,1669178.0,14.5,8.686910563163424
192,Victor Oladipo,29,1669178.0,16.0,9.585556483490677
193,Victor Oladipo,29,1669178.0,13.2,7.908084098879808
194,Duncan Robinson,27,15650000.0,8.8,0.562300319488818
195,Max Strus,25,1669178.0,13.8,8.26754246701071
196,P.J. Tucker,36,7000000.0,5.5,0.7857142857142857
197,Gabe Vincent,25,1669178.0,5.5,3.29503504119992
199,Cole Anthony,21,3449400.0,10.3,2.986026555342958
200,Mo Bamba,23,7568743.0,23.4,3.091662644642578
201,Wendell Carter Jr.,22,6920027.0,17.1,2.471088624365194
202,Michael Carter-Williams,29,3300000.0,8.2,2.484848484848485
203,Markelle Fultz,23,16500000.0,12.2,0.7393939393939394
204,R.J. Hampton,20,2303040.0,7.3,3.16972349590107
205,Gary Harris,26,20482143.0,9.3,0.4540540508871557
207,Robin Lopez,33,5000000.0,15.0,3.0
208,Chuma Okeke,23,3277080.0,9.4,2.868407240592235
209,Terrence Ross,30,12500000.0,12.6,1.008
212,Moritz Wagner,24,1669178.0,15.4,9.226098115359775
213,Deni Avdija,20,4692840.0,8.9,1.896506166841401
214,Bradley Beal,28,33724200.0,24.8,0.7353769696538391
216,Thomas Bryant,24,8666667.0,18.8,2.16923068579882
217,Kentavious Caldwell-Pope,28,13038862.0,9.8,0.7515993343590875
218,Spencer Dinwiddie,28,17142857.0,10.1,0.5891666715763889
219,Daniel Gafford,22,1782621.0,17.6,9.873102583218754
220,Anthony Gill,28,1517981.0,7.9,5.20428121300596
221,Rui Hachimura,23,4916160.0,12.9,2.6239992189025583
222,Montrezl Harrell,27,9720900.0,21.3,2.1911551399561766
223,Aaron Holiday,24,3980551.0,7.1,1.7836726624027677
226,Kyle Kuzma,26,13000000.0,13.1,1.0076923076923077
227,Raul Neto,29,1669178.0,13.6,8.147723010967074
229,Nemanja Bjelica,33,1669178.0,12.6,7.548625730748908
230,Stephen Curry,33,45780966.0,25.6,0.5591843562235013
231,Draymond Green,31,24026712.0,10.3,0.42868953521397357
232,Andre Iguodala,37,1669178.0,8.9,5.331965793941689
234,Damion Lee,28,1910860.0,11.2,5.86123525533006
235,Kevon Looney,25,5178572.0,13.9,2.6841376348537787
237,Mychal Mulder,27,1782621.0,11.2,6.282883462048297
239,Jordan Poole,22,2161440.0,14.6,6.75475608853357
242,Juan Toscano-Anderson,28,1701593.0,12.4,7.287289028574988
243,Andrew Wiggins,26,31579390.0,14.0,0.4433271193648769
244,James Wiseman,20,9166800.0,15.1,1.6472487672906575
245,Nicolas Batum,32,3170029.0,14.8,4.668727005336544
246,Eric Bledsoe,31,18125000.0,12.6,0.6951724137931035
247,Yogi Ferrell,28,1782621.0,12.7,7.124341068572624
248,Paul George,31,39344900.0,23.2,0.5896571093076867
249,Serge Ibaka,31,9720900.0,18.2,1.8722546266292217
250,Reggie Jackson,31,10384500.0,13.3,1.2807549713515336
252,Luke Kennard,25,13347727.0,10.8,0.8091265276852008
253,Kawhi Leonard,30,36016200.0,27.5,0.7635452935068108
254,Terance Mann,24,1782621.0,11.2,6.282883462048297
258,Ivica Zubac,24,7518518.0,20.5,2.726601173263135
259,Carmelo Anthony,37,1669178.0,13.8,8.26754246701071
261,Kent Bazemore,32,1669178.0,14.7,8.806730019207059
262,Anthony Davis,28,35361360.0,24.7,0.6985025462821565
263,Wayne Ellington,33,1669178.0,12.8,7.668445186792541
264,Marc Gasol,36,2692991.0,10.3,3.824743565797286
265,Talen Horton-Tucker,20,9500000.0,11.7,1.2315789473684209
266,Dwight Howard,35,1669178.0,13.9,8.327452195032526
267,LeBron James,36,41180544.0,24.2,0.5876561514097531
268,Malik Monk,23,1669178.0,13.0,7.788264642836174
269,Kendrick Nunn,26,5000000.0,12.3,2.46
270,Rajon Rondo,35,1669178.0,8.9,5.331965793941689
271,Russell Westbrook,32,44211146.0,14.4,0.3257097203497055
272,Deandre Ayton,23,12632950.0,17.7,1.401097922496329
273,Devin Booker,24,31650600.0,17.2,0.5434336157924337
274,Mikal Bridges,25,5557725.0,16.3,2.9328547202317496
275,Jae Crowder,31,9720900.0,11.5,1.183018033309673
276,Chandler Hutchison,25,4019459.0,0.5,0.12439485015271955
277,Cameron Johnson,25,4437000.0,13.2,2.9749830966869504
278,Frank Kaminsky,28,1669178.0,16.2,9.705375939534308
279,JaVale McGee,33,5000000.0,16.5,3.3000000000000003
280,Abdel Nader,27,2000000.0,14.8,7.4
281,Chris Paul,36,30000000.0,20.4,0.6799999999999999
282,Cameron Payne,27,6500000.0,13.5,2.0769230769230766
283,Elfrid Payton,27,1669178.0,11.9,7.129257634596191
285,Landry Shamet,24,3768342.0,9.1,2.4148551272681726
286,Jalen Smith,21,4458000.0,7.7,1.7272319425751457
287,Marvin Bagley III,22,11312114.0,13.9,1.22877120934248
288,Harrison Barnes,29,20284091.0,15.7,0.7740055987719637
289,Terence Davis,24,4000000.0,11.2,2.8
290,De'Aaron Fox,23,28103550.0,19.9,0.7080955964637919
291,Tyrese Haliburton,21,4023600.0,17.5,4.349338900487126
292,Maurice Harkless,28,4347600.0,4.6,1.0580550188609807
293,Buddy Hield,28,22768890.0,10.7,0.4699394656480838
294,Richaun Holmes,27,10384500.0,18.2,1.752612066059993
295,Justin James,24,1782621.0,6.6,3.7024134687070327
296,Damian Jones,26,1977011.0,3.9,1.972674911773379
297,Alex Len,28,3732000.0,15.5,4.153269024651661
298,Alex Len,28,3732000.0,4.3,1.1521972132904608
299,Alex Len,28,3732000.0,19.5,5.22508038585209
300,Chimezie Metu,24,1762796.0,20.3,11.515796496021094
302,Jahmi'us Ramsey,20,1517981.0,11.5,7.575852398679562
303,Tristan Thompson,30,9720900.0,13.6,1.3990474133053523
305,Moses Brown,21,1701593.0,33.5,19.68743406913404
306,Sterling Brown,26,3000000.0,12.9,4.300000000000001
307,Jalen Brunson,25,1802057.0,16.4,9.100711020794568
308,Reggie Bullock,30,9536000.0,8.9,0.9333053691275168
309,Trey Burke,28,3150000.0,13.7,4.349206349206349
310,Willie Cauley-Stein,28,4100000.0,14.8,3.609756097560976
312,Dorian Finney-Smith,28,4000000.0,11.0,2.75
313,Josh Green,20,2957520.0,6.4,2.1639752224837028
314,Tim Hardaway Jr.,29,21308816.0,14.2,0.6663908496839993
315,Maxi Kleber,29,8975000.0,11.4,1.2701949860724233
318,Dwight Powell,30,11080125.0,12.7,1.1461964553648987
319,Tyrell Terry,20,1517981.0,6.0,3.952618642789337
320,D.J. Augustin,33,7000000.0,10.8,1.542857142857143
323,Eric Gordon,32,18218818.0,16.8,0.922123487923311
326,Kenyon Martin Jr.,20,1517981.0,9.1,5.994804941563827
327,David Nwaba,28,4650000.0,13.4,2.881720430107527
330,Jae'Sean Tate,25,1517981.0,13.4,8.827514968896185
331,Daniel Theis,29,8280351.0,15.5,1.871901323989768
333,John Wall,31,44310840.0,17.3,0.39042365254190625
334,Christian Wood,25,13666667.0,24.1,1.7634145911362296
335,Steven Adams,28,17073171.0,15.9,0.9312856996512248
337,Kyle Anderson,27,9937150.0,17.8,1.7912580568875383
338,Desmond Bane,23,2033160.0,12.6,6.197249601605383
339,Dillon Brooks,25,12200000.0,10.3,0.8442622950819673
340,Brandon Clarke,24,2726880.0,16.6,6.087543272897964
341,Jarrett Culver,22,6395160.0,10.7,1.6731403123612232
344,Tyus Jones,25,8376286.0,14.2,1.6952620767724502
345,John Konchar,25,2200000.0,13.3,6.045454545454546
346,De'Anthony Melton,23,8805976.0,15.6,1.7715242467160937
347,Sam Merrill,25,1517981.0,12.5,8.234622172477785
348,Ja Morant,22,9603360.0,18.7,1.947235134369637
349,Daniel Oturu,21,1517981.0,21.6,14.229427114041613
353,Nickeil Alexander-Walker,23,3261480.0,12.0,3.679311232937194
354,Wenyen Gabriel,24,1762796.0,-1.4,-0.7941928617945582
355,Devonte' Graham,26,11000000.0,12.1,1.1
356,Josh Hart,26,12000000.0,12.5,1.0416666666666667
357,Jaxson Hayes,21,5348280.0,15.5,2.898127996290396
359,Brandon Ingram,24,29467800.0,20.4,0.6922810661128418
361,Kira Lewis Jr.,20,3822240.0,11.7,3.0610322742684914
363,Naji Marshall,23,1517981.0,-0.4,-0.2635079095192891
366,Garrett Temple,35,4910000.0,9.6,1.955193482688391
368,Zion Williamson,21,10733400.0,27.0,2.515512326010397
369,Al-Farouq Aminu,30,10183800.0,7.5,0.7364637954398162
371,Drew Eubanks,24,1762796.0,12.4,7.0342796330375155
372,Bryn Forbes,28,4500000.0,11.8,2.6222222222222227
373,DaQuan Jeffries,24,1701593.0,3.5,2.056896096775198
374,Keldon Johnson,21,2145720.0,15.3,7.1304736871539625
375,Tre Jones,21,1517981.0,19.6,12.911887566445168
377,Doug McDermott,29,13750000.0,13.8,1.0036363636363637
378,Dejounte Murray,24,15428880.0,16.4,1.0629417041288802
379,Jakob Poeltl,25,8750000.0,16.5,1.8857142857142857
382,Devin Vassell,21,4235160.0,12.5,2.951482352496718
384,Derrick White,27,15178571.0,15.0,0.988235322020762
385,Thaddeus Young,33,14190000.0,18.5,1.3037350246652573
386,Will Barton,30,15625000.0,11.6,0.7424
387,Bol Bol,21,2161152.0,4.7,2.174766050698887
388,Facundo Campazzo,30,3200000.0,12.1,3.78125
390,PJ Dozier,24,1910860.0,13.6,7.117214238615073
391,Aaron Gordon,25,16409091.0,14.9,0.9080332359665749
