,Player,Team,GP,MIN,Contested 2PT Shots,Contested 3PT Shots,Contested Shots,Total Contested Shots,DFGM,DFGA,DFG%,FG%,DIFF%
0,Brook Lopez,MIL,70,27.2,13.4,3.6,17.0,1190,9.0,19.8,45.2,48.9,-3.6
1,Rudy Gobert,UTA,71,30.8,12.1,2.8,14.8,1050,9.2,22.3,41.3,49.3,-7.9
2,Jakob Poeltl,SAS,69,26.7,11.6,2.9,14.4,993,7.8,17.3,44.9,48.6,-3.7
3,Deandre Ayton,PHX,69,30.6,9.4,3.8,13.2,910,8.0,17.1,46.6,48.3,-1.8
4,Chris Boucher,TOR,60,24.2,8.1,3.8,11.8,708,5.9,13.3,44.6,47.4,-2.8
5,Jarrett Allen,CLE,63,29.6,9.7,2.0,11.8,743,7.0,15.0,46.4,49.3,-2.9
6,Jonas Valanciunas,MEM,62,28.3,8.8,2.1,10.9,675,8.3,16.8,49.5,48.9,0.6
7,Clint Capela,ATL,63,30.1,9.1,1.7,10.8,680,7.2,15.3,47.0,49.8,-2.7
8,Isaiah Stewart,DET,68,21.4,8.3,2.4,10.7,727,5.8,13.1,44.7,48.4,-3.7
9,Domantas Sabonis,IND,62,36.0,8.0,2.6,10.6,657,8.5,18.1,47.1,48.8,-1.7
10,John Collins,ATL,63,29.3,6.7,3.7,10.3,648,6.5,13.3,48.9,47.9,1.0
11,Draymond Green,GSW,63,31.5,6.8,3.2,10.0,630,6.6,14.8,44.7,48.1,-3.4
12,P.J. Washington,CHA,64,30.5,6.1,3.8,9.9,633,7.4,14.6,50.5,47.9,2.6
13,Bam Adebayo,MIA,64,33.5,6.2,3.7,9.9,633,6.2,13.8,44.9,48.1,-3.3
14,Richaun Holmes,SAC,61,29.2,7.6,2.1,9.8,597,6.9,14.9,46.1,49.1,-3.0
15,Ivica Zubac,LAC,72,22.3,7.7,1.7,9.4,676,6.5,14.5,44.6,49.6,-5.0
16,Daniel Theis,CHI,65,24.6,6.1,3.1,9.2,598,6.5,13.6,47.6,48.3,-0.7
17,Nikola Jokic,DEN,72,34.6,6.9,2.3,9.1,655,8.8,18.0,49.0,49.2,-0.2
18,Andrew Wiggins,GSW,71,33.3,4.8,4.2,8.9,631,6.6,14.8,44.4,46.6,-2.3
19,Nikola Vucevic,CHI,70,33.5,7.0,1.8,8.8,616,8.6,17.1,50.4,49.2,1.2
20,Giannis Antetokounmpo,MIL,61,33.0,4.8,3.9,8.6,524,5.1,11.5,44.5,47.3,-2.8
